prey2avgOffs,prey2convRate,prey2catchProb,prey2maxCons,prey2resAva,replicatesNb,prey1densityDevMean,prey1densDevICinf,prey1densDevICsup,prey1amplitudeDevMean,prey1ampldevICinf,prey1ampldevICsup,prey2densityDevMean,prey2densDevICinf,prey2densDevICsup,prey2amplitudeDevMean,prey2ampldevICinf,prey2ampldevICsup,pred1densityDevMean,pred1densDevICinf,pred1densDevICsup,pred1amplitudeDevMean,pred1ampldevICinf,pred1ampldevICsup
0.1,100,0.1,10,100,28,0.212149453,0.208859266,0.215454653,-0.051758794,-0.126274228,0.023402728,-0.392306023,-0.404740381,-0.379255006,0.575370329,0.360958366,0.814821569,-0.679079668,-0.690460535,-0.66835297,0.18877551,0.094387755,0.295068027
0.5,100,0.1,10,100,30,0.047420864,0.043693416,0.051240397,0.002211055,-0.074170854,0.08160804,-0.141944673,-0.145890147,-0.13772398,0.204241948,0.094461901,0.327769049,-0.137438161,-0.142956666,-0.132295385,0.273015873,0.155555556,0.394444444
1,100,0.1,10,100,30,7.12E-17,-0.004489152,0.004046743,-6.11E-17,-0.098090452,0.100703518,-1.79E-17,-0.003880185,0.00392639,8.11E-17,-0.078161822,0.080322074,-3.45E-17,-0.005886405,0.004986223,9.27E-19,-0.096825397,0.088095238
2,100,0.1,10,100,30,-0.11401046,-0.118177314,-0.109840603,0.261105528,0.15638191,0.368844221,0.097255746,0.094572863,0.09974477,0.108994501,0.049685782,0.174194815,0.201671989,0.195386374,0.208090676,0.331746032,0.253968254,0.418253968
3,100,0.1,10,100,30,-0.166625128,-0.171564697,-0.162431249,0.214271357,0.096683417,0.333065327,0.17437129,0.172067085,0.176594135,0.311665357,0.221720346,0.393951296,0.280433966,0.273553447,0.286563028,0.415873016,0.305555556,0.53015873
4,100,0.1,10,100,30,-0.208952281,-0.213320321,-0.204935565,0.24,0.123015075,0.355577889,0.228352373,0.226675948,0.229826903,0.698743126,0.561861744,0.84564022,0.32952126,0.326022293,0.333341161,0.545238095,0.438095238,0.653968254
5,100,0.1,10,100,30,-0.240566524,-0.246693191,-0.234494908,0.452462312,0.325226131,0.581708543,0.269107879,0.267341054,0.27086466,1.071091909,0.898664572,1.260408484,0.361481621,0.353927923,0.368479554,0.68968254,0.566666667,0.825396825
6,100,0.1,10,100,30,-0.263271526,-0.270340065,-0.256179966,0.387135678,0.236984925,0.52321608,0.297560897,0.295676551,0.29935886,1.817556952,1.625883739,2.01119403,0.392706181,0.383391258,0.401324441,0.697619048,0.547619048,0.846031746
7,100,0.1,10,100,30,-0.281995846,-0.28775117,-0.276083377,0.425527638,0.27839196,0.586733668,0.323407371,0.321638537,0.325229441,2.637470542,2.381382561,2.878436764,0.406952533,0.397825474,0.416384871,0.803174603,0.653968254,0.954761905
8,100,0.1,10,100,30,-0.30609714,-0.313442935,-0.29889748,0.546934673,0.399798995,0.688442211,0.341955521,0.338846752,0.344934716,3.434210526,3.061861744,3.786135114,0.412322312,0.403993675,0.42155113,0.954761905,0.793650794,1.118253968
9,100,0.1,10,100,30,-0.305324425,-0.31190251,-0.297985637,0.655075377,0.48241206,0.844221106,0.351942754,0.34888019,0.355196164,5.17674784,4.815200314,5.502945797,0.414091365,0.402302899,0.424697852,1.286507937,1.104761905,1.473809524
10,100,0.1,10,100,30,-0.298644246,-0.308172059,-0.290123364,0.740301508,0.539899497,0.939899497,0.36188077,0.356458756,0.36677344,6.183032207,5.660447761,6.68008641,0.412275346,0.398389066,0.426983531,1.453968254,1.257936508,1.64047619
