timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,100,0,0,0
10,57547,57398,101,107,0,0,0
20,57633,57309,125,142,0,0,0
30,56218,55560,175,198,0,0,0
40,53734,52521,263,274,0,0,0
50,49268,48804,365,392,0,0,0
60,44270,43281,523,544,0,0,0
70,36879,35292,715,753,0,0,0
80,27595,26325,961,999,0,0,0
90,17531,16686,1340,1301,0,0,0
100,8049,8375,1541,1597,0,0,0
110,4458,3500,1635,1649,0,0,0
120,3239,3045,1627,1627,0,0,0
130,3422,2355,1623,1693,0,0,0
140,2925,2395,1673,1678,0,0,0
150,2861,2172,1654,1641,0,0,0
160,3067,2940,1636,1660,0,0,0
170,3048,3232,1682,1619,0,0,0
180,2568,3009,1620,1635,0,0,0
190,2730,3317,1625,1696,0,0,0
200,2934,2174,1710,1666,0,0,0
210,3392,3522,1473,1468,24,21,96
220,6188,5771,1406,1459,20,14,108
230,7344,6145,1454,1448,11,19,116
240,6846,7269,1445,1420,17,17,129
250,6884,6974,1412,1407,15,20,139
260,7045,7243,1404,1392,13,23,152
270,7869,7881,1345,1415,20,24,179
280,8831,8697,1323,1312,27,29,185
290,9270,10827,1321,1285,21,25,179
300,10150,11101,1283,1246,25,28,184
310,11061,12003,1224,1207,17,28,182
320,12664,13830,1220,1184,19,21,170
330,12421,13903,1237,1204,24,18,163
340,12228,12933,1219,1245,25,12,158
350,12174,11951,1300,1308,19,23,150
360,10802,10856,1221,1298,17,23,158
370,12208,11234,1269,1214,21,30,155
380,10885,12911,1296,1246,26,21,164
390,10861,11837,1237,1271,30,26,162
400,12008,10916,1260,1288,27,19,168
410,11425,10439,1258,1282,18,35,160
420,11404,10577,1238,1269,26,27,163
430,11912,11060,1270,1270,15,24,172
440,10936,11713,1276,1238,31,23,164
450,10593,12338,1254,1245,25,29,162
460,10614,11415,1344,1301,18,20,151
470,8385,10837,1401,1278,20,19,139
480,7150,10737,1341,1304,34,16,155
490,9150,10353,1343,1286,26,21,149
500,9160,11497,1349,1300,22,24,162
510,9153,10689,1322,1300,24,25,172
520,9373,11187,1347,1248,29,25,165
530,9461,11687,1301,1234,17,16,168
540,10406,11862,1308,1246,15,29,157
550,10510,11654,1268,1276,21,28,175
560,11759,11145,1256,1293,21,27,169
570,12012,10510,1221,1272,27,16,175
580,12345,10884,1237,1264,24,23,175
590,11738,10970,1263,1286,23,31,172
600,11030,11158,1239,1256,30,22,158
610,12316,11756,1253,1262,20,19,159
620,11412,11665,1270,1246,24,14,148
630,10896,11610,1295,1306,25,14,144
640,10371,10237,1321,1292,22,18,150
650,9366,10063,1385,1326,16,17,134
660,8333,9129,1318,1387,17,16,142
670,9954,7737,1365,1398,14,20,141
680,8073,7716,1385,1405,25,18,152
690,8569,7799,1324,1333,24,25,163
700,10226,9667,1335,1370,25,18,165
710,9903,8586,1285,1358,30,26,157
720,10659,9216,1343,1291,16,27,173
730,10007,10756,1283,1270,29,27,175
740,11006,11172,1259,1205,20,28,182
750,10869,13207,1235,1263,25,25,184
760,13010,11955,1239,1235,24,18,163
770,12502,11908,1235,1254,19,24,153
780,11702,11557,1244,1302,25,25,143
790,11132,9935,1312,1283,15,17,145
800,9309,10464,1364,1270,20,24,155
810,8641,10747,1334,1313,23,26,158
820,8854,9896,1328,1326,32,18,153
830,9605,9579,1317,1322,18,27,165
840,9510,9718,1344,1326,24,23,177
850,10250,9293,1313,1315,22,26,164
860,10870,10080,1237,1283,21,29,180
870,12384,10991,1256,1239,25,27,181
880,11568,12127,1259,1199,34,23,185
890,11188,13485,1271,1233,28,23,170
900,10498,11956,1294,1251,20,26,155
910,10507,12159,1289,1215,20,27,164
920,9885,12863,1299,1282,32,12,164
930,9938,10545,1339,1239,23,33,166
940,9262,11274,1356,1291,20,28,174
950,9097,11155,1307,1277,25,15,168
960,11128,11507,1256,1219,24,21,176
970,11642,12766,1227,1251,22,19,170
980,11898,11723,1275,1230,24,20,168
990,11113,12174,1266,1300,18,23,174
1000,11505,10885,1250,1275,17,28,172
